Feature	Gain	Cover	Frequency
mtarjeta_visa_descuentos	0.000457109224660933	0.00557988504660053	0.00174520069808028
mttarjeta_master_debitos_automaticos	0.000368210145225958	0.000939038263433572	0.00102658864592958
internet	0.000356560247748349	0.00349486525597819	0.000718612052150703
catm_trx_other	0.000331023073954612	0.00177793282734928	0.000615953187557746
ccajas_extracciones	0.000289922833268361	0.00225111569182957	0.000513294322964788
Master_mconsumosdolares	0.000245867312525667	0.000240668650575452	0.00041063545837183
ctarjeta_master_debitos_automaticos	0.000231987561632586	0.00147750172879571	0.000307976593778873
Master_mpagosdolares	0.000215010490985357	0.000263793770918548	0.000821270916743661
tpaquete1	0.000211092362216028	0.00467383541387746	0.000615953187557746
ccheques_depositados	0.000205848446171529	0.00328617783490194	0.000513294322964788
ctarjeta_visa	0.000203800819412572	0.000157345042923962	0.00041063545837183
minversion2	0.00018177166855197	0.00317347419789387	0.00041063545837183
ccajeros_propios_descuentos	0.000171699682102559	0.00301120241173253	0.00041063545837183
minversion1_pesos	0.000114912363188931	0.000766983158046024	0.000102658864592958
mcaja_ahorro_adicional	0.000114891720342398	0.000655026301040371	0.000205317729185915
Visa_madelantopesos	0.000114852388108833	0.000134555722984635	0.000513294322964788
cseguro_auto	0.000104857082377137	0.00223286218331428	0.000307976593778873
Master_msaldodolares	7.89353102919579e-05	0.000146388928257727	0.000307976593778873
mforex_sell	7.25100272403593e-05	0.000658584782931051	0.000307976593778873
ctarjeta_visa_descuentos	5.87873846429411e-05	0.000732470895652751	0.00041063545837183
mcheques_depositados	5.54468725815347e-05	0.000748178335434993	0.000102658864592958
cseguro_vida	4.74360121455469e-05	0.000322659080504518	0.000307976593778873
Master_madelantodolares	2.62998872465102e-05	6.30051772503386e-05	0.000102658864592958
Master_delinquency	2.40647044807822e-05	0.000206717726170568	0.000102658864592958
cforex	2.80533559484932e-13	4.68366384062059e-05	0.000102658864592958
Master_madelantopesos	2.73719328557938e-13	6.45889522890075e-05	0.000205317729185915
Master_cadelantosefectivo	8.42048690533025e-14	1.98924149635346e-05	0.000102658864592958
